CarID,CarLabel,Name,ModelPath
119,`legacy_sdn_20gt_b_03`,Subaru LEGACY B4 2.0GT spec.B '03,0020/0007
121,`impreza_wrc_99`,Subaru IMPREZA Rally Car '99,0020/0006
122,`legacy_gtb_96`,Subaru LEGACY Touring Wagon GT-B '96,0020/0012
123,`legacy_b4_rsk_98`,Subaru LEGACY B4 RSK '98,0020/0014
124,`legacy_b4_blitzen_00`,Subaru LEGACY B4 Blitzen '00,0020/0013
125,`legacy_wgn_30r_03`,Subaru LEGACY Touring Wagon 3.0R '03,0020/0010
126,`legacy_b4_30r_03`,Subaru LEGACY B4 3.0R '03,0020/0009
127,`_1300_coupe_9s_70`,Honda 1300 Coupe 9 S '70,0005/0009
129,`hsc_concept_03`,"Honda HSC ""The 37th Tokyo Motor Show Concept Car"" '03",0005/0020
130,`insight_mt_99`,Honda INSIGHT '99,0005/0012
131,`n360_67`,Honda N360 '67,0005/0013
132,`odyssey_l_4wd_03`,Honda ODYSSEY '03,0005/0021
133,`s2000_03`,Honda S2000 '03,0005/0022
134,`prelude_sir_96`,Honda PRELUDE SiR '96,0005/0014
135,`s800_66`,Honda S800 '66,0005/0015
136,`today_g_85`,Honda TODAY G '85,0005/0016
137,`beat_91`,Honda BEAT '91,0005/0011
138,`takata_dome_nsx_03`,Honda TAKATA DOME NSX '03,0005/0023
139,`raybrig_nsx_00`,Honda RAYBRIG NSX '00,0005/0025
140,`castrol_nsx_00`,Honda Castrol MUGEN NSX '00,0005/0024
141,`arta_nsx_00`,Honda ARTA NSX '00,0005/0026
142,`loctite_nsx_01`,Honda LOCTITE MUGEN NSX '01,0005/0027
143,`mobil_nsx_01`,Honda Mobil 1 NSX '01,0005/0028
144,`arta_garaiya_03`,Autobacs ARTA Garaiya '03,0084/0001
145,`copen_activetop_02`,Daihatsu Copen Active Top '02,0011/0019
146,`midget2_d_type_98`,Daihatsu Midget II D type '98,0011/0005
148,`spoon_fit_03`,Spoon FIT Race Car '03,0072/0001
149,`kusabi_concept_03`,Mazda KUSABI '03,0001/0006
150,`lancer_1600gsr_73`,Mitsubishi Lancer    1600 GSR '74,0012/0007
151,`lancer_evo_gsr_92`,Mitsubishi Lancer Evolution    GSR '92,0012/0008
153,`eclipse_spyder_gts_03`,Mitsubishi ECLIPSE    Spyder GTS '03,0012/0011
154,`hsr2_concept_89`,Mitsubishi HSR-II '89,0012/0012
155,`i_concept_03`,Mitsubishi i    Concept '03,0012/0013
156,`bluebird_1600dx_67`,Nissan BLUEBIRD 1600 Deluxe (510) '69,0003/0018
157,`cube_ex_2wd_02`,Nissan CUBE EX (FF/CVT) '02,0003/0019
158,`march_g_2wd_3dr_99`,Nissan March G# '99,0003/0020
159,`v35_skyline_coupe_350gt_03`,Nissan SKYLINE Coupe 350GT '03,0003/0022
160,`fairlady_z_roadster_03`,Nissan Fairlady Z Roadster (Z33) '03,0003/0023
161,`xanavi_nismo_gtr_03`,Nissan XANAVI NISMO GT-R '03,0003/0024
162,`cusco_impreza_03`,CUSCO SUBARU ADVAN IMPREZA '03,0020/0011
163,`concept_s2_03`,Suzuki CONCEPT-S2 '03,0006/0003
164,`arist_30v_91`,Toyota ARISTO 3.0V '91,0004/0019
165,`arist_v300_vertex_00`,Toyota ARISTO V300 Vertex Edition '00,0004/0020
166,`bb_15z_x_2wd_00`,Toyota bB 1.5Z X Version '00,0004/0021
167,`celica_1600gt_70`,Toyota CELICA 1600GT (TA22) '70,0004/0022
168,`ist_15s_2wd_02`,Toyota ist 1.5S '02,0004/0024
169,`woodone_supra_03`,Toyota WOODONE TOM'S SUPRA '03,0004/0027
170,`a112_abarth_79`,Autobianchi A112 Abarth '79,0141/0001
171,`c5_v6_exclusive_03`,Citroën C5 V6 Exclusive '03,0042/0001
172,`panda_super_ie_90`,Fiat Panda Super i.e. '90,0024/0002
173,`_5_turbo_80`,Renault R5 Turbo '80,0044/0003
176,`cerbera_speed6_97`,TVR Cerbera Speed 6 '97,0015/0001
178,`lupo_gti_cup_03`,Volkswagen Lupo GTI Cup Car (J) '03,0037/0003
179,`_1100_standard_type11_49`,Volkswagen Beetle 1100 Standard (Type-11) '49,0037/0004
180,`impreza_wrx_sti1_94`,Subaru IMPREZA Sedan WRX STi '94,0020/0004
181,`au_supra_01`,Toyota au CERUMO Supra '01,0004/0028
182,`pennzoil_gtr_01`,Nissan PENNZOIL ZEXEL GT-R '01,0003/0026
183,`mrs_autobacs_00`,Toyota SUPERAUTOBACS APEX MR-S '00,0004/0029
184,`razo_silvia_01`,Nissan C-WEST RAZO SILVIA '01,0003/0027
185,`_350z_03`,"Nissan 350Z (Z33, US) '03",0003/0118
187,`tuscan_speed6_00`,TVR Tuscan Speed 6 '00,0015/0010
189,`r_gt_00`,RUF RGT '00,0070/0003
190,`beetle_cup_00`,Volkswagen New Beetle Cup Car '00,0037/0005
191,`lupo_cup_00`,Volkswagen Lupo Cup Car '00,0037/0006
192,`mm_r_tmv_01`,Nissan mm-R Cup Car '01,0003/0028
193,`trial_celica_ss2_03`,TRIAL CELICA SS-II (ZZT231) '03,0177/0001
194,`murao_rx7_03`,Mazda BP FALKEN RX-7 '03,0176/0001
197,`vitz_rs15_00`,Toyota Vitz RS 1.5 '00,0004/0025
198,`colt_15_sportx_02`,Mitsubishi COLT    1.5 Sport X Version '02,0012/0014
199,`demio_sport_03`,Mazda DEMIO SPORT '03,0001/0009
200,`fit_w_ff_01`,Honda FIT W '01,0005/0017
201,`roadster_89`,Mazda Eunos Roadster (NA Special Package) '89,0001/0104
203,`integra_r_98`,Honda INTEGRA TYPE R (DC2) '98,0005/0019
204,`civic_r_98`,Honda CIVIC TYPE R (EK) '98,0005/0018
205,`rx7_spiritr_a_02`,Mazda RX-7 Spirit R Type A (FD) '02,0001/0105
206,`rx8_types_03`,Mazda RX-8 Type S '03,0001/0008
207,`mr2_gts_97`,Toyota MR2 GT-S '97,0004/0026
209,`sl55_amg_02`,Mercedes-Benz SL 55 AMG (R230) '02,0053/0026
210,`r34_gtr_v2_nur_02`,Nissan SKYLINE GT-R V·spec II Nür (R34) '02,0003/0157
211,`lancer_evo5_gsr_98`,Mitsubishi Lancer Evolution V    GSR '98,0012/0009
212,`ford_gt_concept_dmv_02`,Ford GT Concept '02,0002/0004
213,`spoon_civic_00`,Spoon CIVIC TYPE R (EK) '00,0072/0002
214,`spoon_s2000_race_00`,Spoon S2000 Race Car '00,0072/0003
215,`nismo_fairlady_z_ztune_03`,NISMO Fairlady Z Z-tune (Z33) '03,0061/0001
216,`mclaren_f1_gtr_long_97`,BMW McLaren F1 GTR Race Car '97,0077/0001
217,`focus_wrc_99`,Ford Focus Rally Car '99,0086/0001
221,`mrs_sedition_99`,Toyota MR-S S Edition '99,0004/0031
222,`trd_celica_sportm_00`,CELICA TRD Sports M (ZZT231) '00,0060/0001
223,`lancer_evo4_wrc_97`,Mitsubishi Lancer Evolution IV    Rally Car '97,0012/0015
225,`castrol_supra_00`,Toyota Castrol TOM'S SUPRA '00,0004/0032
226,`castrol_supra_01`,Toyota Castrol TOM'S SUPRA '01,0004/0034
228,`denso_supra_00`,Toyota DENSO SARD SUPRA GT '00,0004/0033
230,`rsc_tmv_lm_01`,Toyota RSC Rally Raid Car,0004/0037
